word	count
o	131887
ax	63899
-	42817
s	41049
rom	37684
t	36602
edu	35646
m	22201
com	20635
subject	20370
lines	19666
organization	18694
x	15102
e	13400
writes	13342
d	13222
c	11724
article	11467
r	10592
don	9940
like	9561
b	9551
people	9446
just	9370
university	9357
q	9293
=	8877
p	8700
know	8600
nntp-posting-host	8064
u	7947
g	7795
;	7668
think	7535
use	7508
&	7494
w	7239
n	6922
does	6806
v	6772
l	6462
time	6371
k	6359
new	6350
`@	6254
apr	6090
good	5919
ca	5839
j	5456
di	5435
h	5167
@	5111
y	5010
god	4987
z	4939
way	4932
make	4869
max	4819
irst	4756
ve	4577
distribution	4546
say	4540
right	4487
used	4339
did	4314
want	4183
world	4170
ter	4163
said	3994
ore	3980
need	3958
work	3756
really	3642
problem	3583
computer	3522
ile	3470
ul	3458
believe	3424
help	3388
ormation	3330
going	3221
using	3206
ind	3183
windows	3148
state	3102
ll	3014
cs	3008
question	3005
point	2995
act	2995
years	2987
tware	2969
government	2964
thanks	2956
better	2920
er	2917
things	2915
usa	2907
read	2888
year	2826
reply-to	2800
number	2757
sure	2754
space	2716
david	2682
data	2661
doesn	2620
let	2617
program	2617
uk	2600
got	2582
`	2579
power	2578
drive	2575
case	2558
ew	2540
li	2524
thing	2515
version	2496
look	2486
available	2477
erence	2428
come	2395
little	2362
long	2326
ar	2311
ac	2304
didn	2302
law	2238
john	2237
org	2232
best	2224
day	2223
probably	2220
cc	2203
set	2191
erent	2187
ord	2176
game	2160
gov	2146
true	2137
group	2136
car	2133
tell	2129
sun	2114
ree	2102
try	2098
net	2070
run	2070
ic	2066
lot	2065
actually	2061
science	2058
public	2057
course	2055
great	2045
end	2020
le	2019
list	2016
support	2008
dos	2002
systems	1998
bit	1996
says	1991
nasa	1977
pl	1970
key	1948
research	1924
old	1915
jesus	1912
real	1908
man	1886
possible	1882
hard	1871
mr	1858
second	1853
wrong	1842
line	1841
iles	1836
post	1822
mean	1819
card	1808
ace	1801
image	1790
access	1789
reason	1772
team	1772
ound	1771
called	1766
ibm	1763
problems	1756
yes	1755
